PostId,positivity_score,negativity_score
34552551,0.035971223,0.014388489
34552552,0.016,0.008
34552558,0,0
34552560,0.037037037,0
34552610,0.049180328,0
34552625,0.011627907,0.011627907
34552653,0.02173913,0
34552554,0.014492754,0.043478261
34552557,0,0
34552565,0.027027027,0.004504505
34552587,0,0.028571429
34552615,0.026923077,0
34552555,0.0390625,0.0078125
34552563,0,0
34552589,0.008438819,0.004219409
34552661,0.018867925,0
34552711,0.006802721,0
34552719,0.041666667,0.027777778
34552733,0.032786885,0.016393443
34552584,0.044715447,0.004065041
34552603,0.004694836,0.004694836
34552612,0.014563107,0.063106796
34552614,0.035714286,0
34552623,0.027272727,0.009090909
34552550,0.014742015,0
34552567,0.036697248,0
34552593,0.01754386,0.01754386
34552600,0,0.010989011
34552642,0.007518797,0
34552629,0.0625,0.0625
34552632,0,0
34552639,0.013513514,0.006756757
34552655,0,0
34552616,0.055555556,0
34552660,0,0.023529412
34552670,0.005,0.01
34552752,0.009615385,0.009615385
34552758,0.028571429,0
34552778,0,0
34552801,0.01971831,0.011267606
34552588,0.04950495,0
34552605,0.105263158,0
34552613,0,0.010989011
34552621,0.069767442,0.023255814
34552624,0.066666667,0
34552637,0.007462687,0.007462687
34552650,0,0
34552658,0.028571429,0
34552685,0.016326531,0
34552726,0.029411765,0
34552737,0.010989011,0
34552783,0.01369863,0
34552638,0.032258065,0
34552656,0,0
34552699,0.02484472,0.00621118
34552705,0,0
34552671,0,0
34552696,0.025641026,0
34552707,0.025559105,0.022364217
34552715,0.076923077,0
34552723,0.008196721,0.024590164
34552729,0.027989822,0.005089059
34552773,0.013513514,0.013513514
34552854,0.025316456,0
34552713,0,0
34552716,0,0
34552748,0.073170732,0.012195122
34552749,0.014705882,0.014705882
34552821,0.023255814,0.023255814
34552829,0.041666667,0
34552856,0.019230769,0
34552857,0.039215686,0
34552855,0.025,0
34552863,0,0
34552864,0.016393443,0.016393443
34552883,0.075,0
34552809,0.004444444,0
34552818,0,0
34552828,0.021052632,0.042105263
34552825,0.016064257,0
34552876,0.002898551,0
34552877,0.018867925,0.006289308
34552880,0.016129032,0
34552882,0.016949153,0.008474576
34552932,0.00265252,0.00795756
34552973,0.033557047,0.067114094
34552676,0,0
34552678,0.035294118,0
34552700,0.007874016,0
34552663,0.105263158,0
34552664,0.035087719,0
34552672,0.005025126,0.005025126
34552907,0.042253521,0
34552938,0.016666667,0.016666667
34552946,0.02173913,0
34552948,0.028571429,0.019047619
34552835,0,0.010471204
34552837,0.029268293,0
34552893,0.006309148,0
34552894,0,0
34552900,0.014492754,0
34552987,0.013986014,0.013986014
34553044,0.012345679,0.012345679
34552981,0,0.018181818
34552999,0.025,0
34553022,0.016025641,0.003205128
34552708,0.055555556,0
34552710,0.02478201,0
34552718,0.015873016,0
34552720,0.017241379,0
34552725,0.014492754,0
34552743,0,0.015625
34552744,0.104477612,0
34552760,0.089552239,0.029850746
34552770,0,0
34552680,0.044776119,0
34552688,0.009104704,0.009104704
34552704,0.027303754,0
34552706,0.025316456,0
34552740,0,0.012987013
34552746,0.01754386,0
34552845,0.015151515,0
34552867,0.028169014,0.014084507
